state,lga,latitude,longitude,geonameid
Abia State,Aba North,5.09386,7.39479,7701336
Abia State,Aba South,5.1,7.35,7701374
Abia State,Arochukwu,5.48569,7.7658,8638389
Abia State,Bende,5.64971,7.58999,8638388
Abia State,Ikwuano,5.43333,7.56667,7701376
Abia State,Isiala Ngwa North Local Government Area,5.40305,7.41986,9485480
Abia State,Isiala Ngwa South Local Government Area,5.32707,7.39233,9485481
Abia State,Isiala-Ngwa North,5.26783,7.39057,7932087
Abia State,Isiala-Ngwa South,5.36241,7.39998,7730382
Abia State,Isuikwuato,5.76185,7.46446,7873936
Abia State,Obi Nwga,5.12713,7.45578,7932088
Abia State,Ohafia,5.65835,7.76939,7729963
Abia State,Osisioma Ngwa,5.19934,7.33067,8638391
Abia State,Ugwunagbo,5.00628,7.33943,7730384
Abia State,Ukwa East,4.9,7.36667,7701380
Abia State,Ukwa West,4.95401,7.23927,7730386
Abia State,Umu-Nneochi,5.93998,7.41034,7932084
Abia State,Umuahia North,5.558,7.46869,7932085
Abia State,Umuahia South,5.46234,7.43997,7730388
Adamawa State,Demsa,9.35639,12.07802,8659809
Adamawa State,Fufore,9.20243,12.79358,7729966
Adamawa State,Ganye,8.36758,11.94566,8659815
Adamawa State,Girei,9.42646,12.48094,8659810
Adamawa State,Gombi,10.18948,12.52765,8659803
Adamawa State,Guyuk,9.82348,11.92048,8659806
Adamawa State,Hong,10.31016,12.92473,8659801
Adamawa State,Jada,8.68875,12.31743,8659814
Adamawa State,Larmurde,9.5705,11.71792,8659807
Adamawa State,Madagali,10.85219,13.54889,7729973
Adamawa State,Maiha,9.86975,13.2048,8659802
Adamawa State,Mayo-Belwa,8.97099,11.9768,8659813
Adamawa State,Michika,10.58072,13.39772,8659798
Adamawa State,Mubi North,10.3498,13.40646,8659799
Adamawa State,Mubi South,10.1874,13.39576,8659800
Adamawa State,Numan,9.45371,11.83665,8659808
Adamawa State,Shelleng,9.94811,12.12668,8659805
Adamawa State,Song,9.85468,12.62692,8659804
Adamawa State,Teungo,7.9958,11.84249,8659816
Adamawa State,Yola North,9.26628,12.25113,8659811
Adamawa State,Yola South,9.25286,12.43618,8659812
Akwa Ibom State,Abak,5.02095,7.78738,8638458
Akwa Ibom State,Eastern Obolo,4.53389,7.76694,7730390
Akwa Ibom State,Eket,4.63664,7.95365,8638472
Akwa Ibom State,Esit Eket,4.63086,8.07058,7701381
Akwa Ibom State,Essien Udim,5.10684,7.64533,8638452
Akwa Ibom State,Etim Ekpo,4.978,7.59247,8638454
Akwa Ibom State,Etinan,4.81943,7.84464,8638463
Akwa Ibom State,Ibeno,4.56506,8.07258,8638468
Akwa Ibom State,Ibesikpo Asutan,4.92735,7.95806,8638457
Akwa Ibom State,Ibiono Ibom,5.20704,7.89309,8638450
Akwa Ibom State,Ika,5.00553,7.53411,8638453
Akwa Ibom State,Ikono,5.21035,7.79398,8638448
Akwa Ibom State,Ikot Abasi,4.60581,7.6244,8638465
Akwa Ibom State,Ikot Ekpene,5.19383,7.70369,8638449
Akwa Ibom State,Ini,5.40415,7.74884,8638394
Akwa Ibom State,Itu,5.14318,7.97788,8638451
Akwa Ibom State,Mbo,4.64325,8.25537,8638469
Akwa Ibom State,Mkpat Enin,4.73361,7.74861,7701382
Akwa Ibom State,Nsit Atai,4.8177,8.02593,7730394
Akwa Ibom State,Nsit Ibom,4.90092,7.89309,8638460
Akwa Ibom State,Nsit Ubium,4.74274,7.94876,7730396
Akwa Ibom State,Obot Akara,5.24669,7.60458,8638447
Akwa Ibom State,Okobo,4.82714,8.13204,8638478
Akwa Ibom State,Onna,4.61597,7.84869,7730397
Akwa Ibom State,Oron,4.80291,8.23005,8638479
Akwa Ibom State,Oruk Anam,4.9,7.71667,7701383
Akwa Ibom State,Udung Uko,4.75226,8.26529,8638474
Akwa Ibom State,Ukanafun,4.89651,7.59687,8638459
Akwa Ibom State,Uruan,5.01104,8.06597,8638456
Akwa Ibom State,Urue Offong/Oruko,4.71702,8.16948,8638475
Akwa Ibom State,Uyo,5.01874,7.903,8638455
Anambra State,Aguata,5.99081,7.08124,8638035
Anambra State,Anambra East,6.26667,6.81667,7701409
Anambra State,Anambra West,6.35931,6.74968,7701530
Anambra State,Anaocha,6.06824,6.9963,7701411
Anambra State,Awka North,6.33333,7,7701412
Anambra State,Awka South,6.20694,7.06778,7701413
Anambra State,Ayamelum,6.55355,6.98694,8638032
Anambra State,Dunukofia,6.2738,6.978,7932064
Anambra State,Ekwusigo,5.98067,6.83992,8638042
Anambra State,Idemili North,6.1285,6.93342,7701531
Anambra State,Idemili South,6.04769,6.94992,7701532
Anambra State,Ihiala,5.84683,6.85918,8638036
Anambra State,Njikoka,6.1842,6.97655,7701533
Anambra State,Nnewi North,5.99994,6.90177,8638038
Anambra State,Nnewi South,5.93321,6.92306,7701534
Anambra State,Ogbaru,6.01577,6.74459,7701535
Anambra State,Onitsha North,6.16081,6.79968,7873887
Anambra State,Onitsha South,6.1267,6.77736,8638046
Anambra State,Orumba North,6.06667,7.08333,7701536
Anambra State,Orumba South,5.96667,7.21667,7701537
Anambra State,Oyi,6.1767,6.86187,7701538
Bauchi State,Alkaleri,9.88979,10.48004,8634313
Bauchi State,Bauchi,10.31583,9.84417,7729984
Bauchi State,Bogoro,9.65,9.61667,7729988
Bauchi State,Damban,11.62592,10.78622,8634291
Bauchi State,Darazo,11.16762,10.65399,7729992
Bauchi State,Dass,10.01852,9.47803,8634267
Bauchi State,Gamawa,12.073,10.58616,8634305
Bauchi State,Ganjuwa,10.74916,9.99991,8634288
Bauchi State,Giade,11.40646,10.28336,8634289
Bauchi State,Itas/Gadau,11.89382,10.04862,8634303
Bauchi State,Jama'Are,11.7216,9.91293,8634293
Bauchi State,Katagum,11.7042,10.32696,8634300
Bauchi State,Kirfi,10.39427,10.53223,8634310
Bauchi State,Misau,11.3163,10.4703,7729993
Bauchi State,Ningi,11.06228,9.20491,8634264
Bauchi State,Shira,11.50415,10.01731,8634290
Bauchi State,Tafawa-Balewa,9.82542,9.5824,8634314
Bauchi State,Toro,10.44646,9.22056,8634266
Bauchi State,Warji,11.15796,9.73897,8634265
Bauchi State,Zaki,12.29919,10.30889,8634304
Bayelsa State,Brass,4.36648,6.45462,8638097
Bayelsa State,Ekeremor,4.92212,5.71647,8638070
Bayelsa State,Kolokuma/Opokuma,5.09855,6.264,8638091
Bayelsa State,Nembe,4.52466,6.29442,8638095
Bayelsa State,Ogbia,4.77409,6.32686,8638092
Bayelsa State,Sagbama,5.14722,6.21127,8638073
Bayelsa State,Southern Ijaw,4.67675,5.94156,8638072
Bayelsa State,Yenegoa,5.03163,6.35931,8638087
Benue State,Ado,6.79934,8.00541,8659760
Benue State,Agatu,7.9061,7.85487,7730398
Benue State,Apa,7.62962,7.87107,8659758
Benue State,Bukuru,7.46667,9.2,7729994
Benue State,Buruku Local Government Area,7.36534,9.26074,9485483
Benue State,Gboko,7.31616,8.90167,7729995
Benue State,Guma,7.96667,8.76667,7729904
Benue State,Gwer East,7.3,8.48333,7729905
Benue State,Gwer West,7.63211,8.21656,7730399
Benue State,Katsina-Ala,7.2896,9.5533,7932511
Benue State,Konshisha,7.02993,8.66037,7730400
Benue State,Kwande,6.80099,9.47021,7730000
Benue State,Logo,7.68922,9.25049,7729906
Benue State,Makurdi Local Government Area,7.73753,8.52296,9485482
Benue State,Markurdi,7.7042,8.53588,7932059
Benue State,Obi,7.02177,8.29392,8659761
Benue State,Ogbadibo,7.08921,7.64989,7729907
Benue State,Ohimini,7.20744,7.94989,7932061
Benue State,Oju,6.8588,8.38201,8659762
Benue State,Okpokwu,7.01094,7.85102,7932062
Benue State,Oturkpo,7.30736,8.07494,7932060
Benue State,Tarka,7.62081,8.88194,8659759
Benue State,Ukum,7.64393,9.56356,8659763
Benue State,Ushongo,7.04411,9.08871,7730401
Benue State,Vandeikya,6.82814,9.05904,7729908
Borno State,Abadam,13.43162,13.31319,8659822
Borno State,Askira-Uba,10.63582,12.8782,8659842
Borno State,Bama,11.52059,14.09661,8659838
Borno State,Bayo,10.42254,11.70624,8659845
Borno State,Biu,10.81742,12.08845,8659843
Borno State,Chibok,10.83642,12.7705,8659841
Borno State,Damboa,11.09826,12.76417,8659840
Borno State,Dikwa,11.90069,14.02693,8659834
Borno State,Gubio,12.67777,12.75361,8659826
Borno State,Guzamala,12.91849,13.21395,8659825
Borno State,Gwoza,11.17639,13.57926,8659839
Borno State,Hawul,10.4331,12.24682,8659844
Borno State,Jere,11.89912,13.29155,8659835
Borno State,Kaga,11.64518,12.45165,8659837
Borno State,Kala-Balge,12.04639,14.48093,8659832
Borno State,Konduga,11.58605,13.00278,8659836
Borno State,Kukawa,13.13073,13.73811,8659824
Borno State,Kwaya Kusar,10.44317,11.99089,8659847
Borno State,Mafa,12.00204,13.53703,8659833
Borno State,Magumeri,12.17309,12.63114,8659829
Borno State,Maiduguri,11.83537,13.15166,8659860
Borno State,Marte,12.40959,13.87278,8659830
Borno State,Mobbar,13.09165,12.6966,8659823
Borno State,Monguno,12.57852,13.61727,8659828
Borno State,Ngala,12.21532,14.18319,8659831
Borno State,Nganzai,12.50884,13.10414,8659827
Borno State,Shani,10.18393,11.96386,8659846
Cross River State,Abi,5.90661,8.03799,7932502
Cross River State,Akamkpa,5.42728,8.51855,8638548
Cross River State,Akpabuyo,4.90092,8.48111,8638552
Cross River State,Bakassi,4.81714,8.60212,9172954
Cross River State,Bekwarra,6.69583,8.91057,8638542
Cross River State,Biase,5.55942,8.07809,8638547
Cross River State,Boki,6.25,9.03333,7730003
