slug,product,description_chars,ingredients,directions,warnings
toke-natural-soap-refill,2KG Toke Natural Soap,188,MISSING,MISSING,MISSING
4kg-natural-orange-soap,4kg Natural Orange Soap,916,MISSING,MISSING,MISSING
8-oz-white-plastic-bottle,8 OZ White Plastic Bottle,631,MISSING,MISSING,MISSING
internatonal-african-natural-shower-gel,African Natural Shower Gel (premium),761,MISSING,MISSING,MISSING
anti-dandruff-shampoo-with-peppermint-oil,Anti dandruff shampoo with peppermint oil,793,MISSING,MISSING,MISSING
anti-acne-facial-wash,Anti-Acne Facial Wash,657,MISSING,MISSING,MISSING
baby-skin-hair-care-set,Baby Skin/Hair Care Set,1658,MISSING,MISSING,MISSING
caramel-skin-set,Caramel Skin Set,1831,MISSING,MISSING,MISSING
career-woman-caramel-skin,Career Woman (Caramel Skin),925,MISSING,MISSING,MISSING
career-woman-fair-skin,Career Woman (Fair Skin),904,MISSING,MISSING,MISSING
even-skin-glow-lotion,Even Skin Glow Lotion,626,MISSING,MISSING,MISSING
fair-skin-set,Fair Skin Set,856,MISSING,MISSING,MISSING
family-skincare-set,Family Skincare Set,906,MISSING,MISSING,MISSING
valentines-day-gift-for-him,Glow Gift Box (Customizable),2026,MISSING,MISSING,MISSING
hydrate-and-glow-lotion,Hydrate and Glow Lotion,662,MISSING,MISSING,MISSING
hyperpigmentation-set,Hyperpigmentation Set,1148,MISSING,MISSING,MISSING
kids-skin-and-haircare-set,Kids Skin and Haircare Set,1178,MISSING,MISSING,MISSING
mens-essential-skincare-set,Men's Essential Skincare Set,900,MISSING,MISSING,MISSING
adult-haircare-set,Nature's Root Hair Growth System,1106,MISSING,MISSING,MISSING
natures-root-shampoo-with-rosemary-oil,Nature’s Root Shampoo with Rosemary Oil,740,MISSING,MISSING,MISSING
new-mom-package-caramel-skin,New Mom Package (Caramel Skin),524,MISSING,MISSING,MISSING
new-mom-package-fair-skin-set,New Mom Package (Fair Skin Set),5684,MISSING,MISSING,MISSING
nourishing-grow-rinse-out-conditioner,Nourishing & Grow Rinse Off Conditioner,644,MISSING,MISSING,MISSING
nourishing-growth-leave-in-conditioner,Nourishing & Growth Leave-in Conditioner,687,MISSING,MISSING,MISSING
orange-shower-gel,Orange Shower Gel,681,MISSING,MISSING,MISSING
princesss-combo,Princess's Combo,771,MISSING,MISSING,MISSING
teens-set-acne-care,Teen's Set (Acne Care),1815,MISSING,MISSING,MISSING
teens-set-moisturizer,Teens Set (Moisturizer),1071,MISSING,MISSING,MISSING
teens-setfair-skin,Teens Set(Fair Skin),1253,MISSING,MISSING,MISSING
toke-anti-acne-face-cream,Toke Anti-Acne Face Cream,1630,MISSING,MISSING,MISSING
toke-anti-acne-facial-set,Toke Anti-Acne Facial Set,1028,MISSING,MISSING,MISSING
toke-baby-natural-skincare-set,Toke Baby Natural Skincare Set.,2179,MISSING,MISSING,MISSING
toke-baby-natural-shower-gel-w-glycerine,Toke Baby Natural shower gel w/Glycerine,750,MISSING,MISSING,MISSING
