sku,product,ngn_price,gbp,usd,cad
TC-WP-585,2KG Toke Natural Soap,16500.00,,,
TC-WP-4887,4kg Natural Orange Soap,26350.00,,,
TC-WP-4024,8 OZ White Plastic Bottle,2150.00,,,
TC-WP-10852,African Natural Shower Gel (premium),5400.00,,,
TC-WP-523,Anti dandruff shampoo with peppermint oil,3225.00,,,
TC-WP-4190,Anti-Acne Facial Wash,5912.50,,,
TC-WP-11998,Baby Skin/Hair Care Set,23200.00,,,
TC-WP-555,Caramel Skin Set,33432.50,,,
TC-WP-11783,Career Woman (Caramel Skin),31000.00,,,
TC-WP-11780,Career Woman (Fair Skin),33326.00,,,
TC-WP-11113,Even Skin Glow Lotion,1075.00,,,
TC-WP-4379,Even Skin Glow Lotion,5912.50,,,
TC-WP-4380,Even Skin Glow Lotion,9460.00,,,
TC-WP-2803,Fair Skin Set,36055.50,,,
TC-WP-11989,Family Skincare Set,36281.25,,,
TC-WP-7979,Glow Gift Box (Customizable),107500.00,,,
TC-WP-4374,Hydrate and Glow Lotion,9460.00,,,
TC-WP-2809,Hyperpigmentation Set,27619.44,,,
TC-WP-11788,Kids Skin and Haircare Set,25300.00,,,
TC-WP-12251,Men's Essential Skincare Set,19673.00,,,
TC-WP-4037,Nature's Root Hair Growth System,11287.50,,,
TC-WP-4026,Nature’s Root Shampoo with Rosemary Oil,2150.00,,,
TC-WP-11773,New Mom Package (Caramel Skin),49600.00,,,
TC-WP-11777,New Mom Package (Fair Skin Set),49600.00,,,
TC-WP-4013,Nourishing & Grow Rinse Off Conditioner,2150.00,,,
TC-WP-4011,Nourishing & Growth Leave-in Conditioner,2687.50,,,
TC-WP-511,Orange Shower Gel,14727.50,,,
TC-WP-512,Orange Shower Gel,2472.50,,,
TC-WP-513,Orange Shower Gel,24940.00,,,
TC-WP-514,Orange Shower Gel,4192.50,,,
TC-WP-11757,Princess's Combo,13000.00,,,
TC-WP-11903,Teen's Set (Acne Care),31350.00,,,
TC-WP-11864,Teens Set (Moisturizer),28143.00,,,
TC-WP-11953,Teens Set(Fair Skin),25160.00,,,
TC-WP-2800,Toke Anti-Acne Face Cream,8320.50,,,
TC-WP-2822,Toke Anti-Acne Facial Set,27520.00,,,
TC-WP-11764,Toke Baby Natural Skincare Set.,8700.00,,,
TC-WP-11765,Toke Baby Natural Skincare Set.,8700.00,,,
TC-WP-11766,Toke Baby Natural Skincare Set.,8700.00,,,
TC-WP-14858,Toke Baby Natural Skincare Set.,8700.00,,,
TC-WP-560,Toke Baby Natural shower gel w/Glycerine,13524.00,,,
TC-WP-561,Toke Baby Natural shower gel w/Glycerine,2300.00,,,
TC-WP-562,Toke Baby Natural shower gel w/Glycerine,22932.00,,,
TC-WP-563,Toke Baby Natural shower gel w/Glycerine,3900.00,,,
TC-WP-2781,Toke Brightening & Soothing Face Serum,6471.50,,,
TC-WP-556,Toke Brightening Oil,6235.00,,,
TC-WP-505,Toke Coconut oil,5482.50,,,
TC-WP-506,Toke Coconut oil,1827.50,,,
TC-WP-507,Toke Coconut oil,20640.00,,,
TC-WP-508,Toke Coconut oil,3440.00,,,
TC-WP-5340,Toke Daily Hydrating & Brightening Facial Wash,5913.00,,,
TC-WP-2797,Toke Daily Hydrating & Brightening Facial Wash,6355.94,,,
TC-WP-4941,Toke Even Skin Glow Lotion with Lactic Acid and shea oil,9460.00,,,
TC-WP-4943,Toke Even Skin Glow Lotion with Lactic Acid and shea oil,7525.00,,,
TC-WP-2815,Toke Face & Body Exfoliating Scrub,7740.00,,,
TC-WP-11507,Toke Facial Set,27520.00,,,
TC-WP-11114,Toke Fair and Even Lotion with vitamin B3 and bearberry extract,1075.00,,,
TC-WP-4972,Toke Fair and Even Lotion with vitamin B3 and bearberry extract,5375.00,,,
TC-WP-4973,Toke Fair and Even Lotion with vitamin B3 and bearberry extract,9460.00,,,
TC-WP-2806,Toke Hair Food,2311.25,,,
TC-WP-4123,Toke Hair Grow Oil,2150.00,,,
TC-WP-587,Toke Hair Grow Oil,3762.50,,,
TC-WP-2825,Toke Hair Grow Scalp Serum,4837.50,,,
TC-WP-559,Toke Hair Grower Cream,2311.25,,,
TC-WP-704,Toke Hydrating &amp; Soothing Face Toner,6471.50,,,
TC-WP-11254,Toke Kid's Lotion,2150.00,,,
TC-WP-11255,Toke Kid's Lotion,1075.00,,,
TC-WP-11256,Toke Kid's Lotion,4888.00,,,
TC-WP-2787,Toke Kids Hair Care Set,14500.00,,,
TC-WP-2828,Toke Kids Hair Conditioner (rinse-out),3762.50,,,
TC-WP-4142,Toke Kids Hair Grow Cream,3762.50,,,
TC-WP-2819,Toke Kids Leave-in Hair Conditioner,4300.00,,,
TC-WP-2812,Toke Kids Shampoo,4300.00,,,
TC-WP-14091,Toke Natural Scalp Rescue & Growth Set (Anti-Dandruff),11287.50,,,
