sku,product,warehouse,seeded_qty,real_qty
TC-WP-585,2KG Toke Natural Soap,Lagos HQ,100,
TC-WP-4887,4kg Natural Orange Soap,Lagos HQ,100,
TC-WP-4024,8 OZ White Plastic Bottle,Lagos HQ,0,
TC-WP-10852,African Natural Shower Gel (premium),Lagos HQ,100,
TC-WP-523,Anti dandruff shampoo with peppermint oil,Lagos HQ,100,
TC-WP-4190,Anti-Acne Facial Wash,Lagos HQ,100,
TC-WP-11998,Baby Skin/Hair Care Set,Lagos HQ,100,
TC-WP-555,Caramel Skin Set,Lagos HQ,100,
TC-WP-11783,Career Woman (Caramel Skin),Lagos HQ,100,
TC-WP-11780,Career Woman (Fair Skin),Lagos HQ,100,
TC-WP-11113,Even Skin Glow Lotion,Lagos HQ,100,
TC-WP-4379,Even Skin Glow Lotion,Lagos HQ,100,
TC-WP-4380,Even Skin Glow Lotion,Lagos HQ,100,
TC-WP-2803,Fair Skin Set,Lagos HQ,100,
TC-WP-11989,Family Skincare Set,Lagos HQ,100,
TC-WP-7979,Glow Gift Box (Customizable),Lagos HQ,100,
TC-WP-4374,Hydrate and Glow Lotion,Lagos HQ,100,
TC-WP-2809,Hyperpigmentation Set,Lagos HQ,100,
TC-WP-11788,Kids Skin and Haircare Set,Lagos HQ,100,
TC-WP-12251,Men's Essential Skincare Set,Lagos HQ,100,
TC-WP-4037,Nature's Root Hair Growth System,Lagos HQ,100,
TC-WP-4026,Nature’s Root Shampoo with Rosemary Oil,Lagos HQ,100,
TC-WP-11773,New Mom Package (Caramel Skin),Lagos HQ,100,
TC-WP-11777,New Mom Package (Fair Skin Set),Lagos HQ,100,
TC-WP-4013,Nourishing & Grow Rinse Off Conditioner,Lagos HQ,100,
TC-WP-4011,Nourishing & Growth Leave-in Conditioner,Lagos HQ,100,
TC-WP-511,Orange Shower Gel,Lagos HQ,0,
TC-WP-512,Orange Shower Gel,Lagos HQ,0,
TC-WP-513,Orange Shower Gel,Lagos HQ,0,
TC-WP-514,Orange Shower Gel,Lagos HQ,0,
TC-WP-11757,Princess's Combo,Lagos HQ,100,
TC-WP-11903,Teen's Set (Acne Care),Lagos HQ,100,
TC-WP-11864,Teens Set (Moisturizer),Lagos HQ,100,
TC-WP-11953,Teens Set(Fair Skin),Lagos HQ,100,
TC-WP-2800,Toke Anti-Acne Face Cream,Lagos HQ,100,
TC-WP-2822,Toke Anti-Acne Facial Set,Lagos HQ,100,
TC-WP-11764,Toke Baby Natural Skincare Set.,Lagos HQ,100,
TC-WP-11765,Toke Baby Natural Skincare Set.,Lagos HQ,100,
TC-WP-11766,Toke Baby Natural Skincare Set.,Lagos HQ,100,
TC-WP-14858,Toke Baby Natural Skincare Set.,Lagos HQ,100,
TC-WP-560,Toke Baby Natural shower gel w/Glycerine,Lagos HQ,100,
TC-WP-561,Toke Baby Natural shower gel w/Glycerine,Lagos HQ,100,
TC-WP-562,Toke Baby Natural shower gel w/Glycerine,Lagos HQ,100,
TC-WP-563,Toke Baby Natural shower gel w/Glycerine,Lagos HQ,100,
TC-WP-2781,Toke Brightening & Soothing Face Serum,Lagos HQ,100,
TC-WP-556,Toke Brightening Oil,Lagos HQ,100,
TC-WP-505,Toke Coconut oil,Lagos HQ,100,
TC-WP-506,Toke Coconut oil,Lagos HQ,100,
TC-WP-507,Toke Coconut oil,Lagos HQ,100,
TC-WP-508,Toke Coconut oil,Lagos HQ,100,
TC-WP-2797,Toke Daily Hydrating & Brightening Facial Wash,Lagos HQ,100,
TC-WP-5340,Toke Daily Hydrating & Brightening Facial Wash,Lagos HQ,100,
TC-WP-4941,Toke Even Skin Glow Lotion with Lactic Acid and shea oil,Lagos HQ,100,
TC-WP-4943,Toke Even Skin Glow Lotion with Lactic Acid and shea oil,Lagos HQ,100,
TC-WP-2815,Toke Face & Body Exfoliating Scrub,Lagos HQ,100,
TC-WP-11507,Toke Facial Set,Lagos HQ,100,
TC-WP-11114,Toke Fair and Even Lotion with vitamin B3 and bearberry extract,Lagos HQ,100,
TC-WP-4972,Toke Fair and Even Lotion with vitamin B3 and bearberry extract,Lagos HQ,100,
TC-WP-4973,Toke Fair and Even Lotion with vitamin B3 and bearberry extract,Lagos HQ,100,
TC-WP-2806,Toke Hair Food,Lagos HQ,100,
TC-WP-4123,Toke Hair Grow Oil,Lagos HQ,100,
TC-WP-587,Toke Hair Grow Oil,Lagos HQ,100,
TC-WP-2825,Toke Hair Grow Scalp Serum,Lagos HQ,100,
TC-WP-559,Toke Hair Grower Cream,Lagos HQ,100,
TC-WP-704,Toke Hydrating &amp; Soothing Face Toner,Lagos HQ,100,
TC-WP-11254,Toke Kid's Lotion,Lagos HQ,100,
TC-WP-11255,Toke Kid's Lotion,Lagos HQ,100,
TC-WP-11256,Toke Kid's Lotion,Lagos HQ,100,
TC-WP-2787,Toke Kids Hair Care Set,Lagos HQ,100,
TC-WP-2828,Toke Kids Hair Conditioner (rinse-out),Lagos HQ,100,
TC-WP-4142,Toke Kids Hair Grow Cream,Lagos HQ,100,
TC-WP-2819,Toke Kids Leave-in Hair Conditioner,Lagos HQ,100,
TC-WP-2812,Toke Kids Shampoo,Lagos HQ,100,
TC-WP-14091,Toke Natural Scalp Rescue & Growth Set (Anti-Dandruff),Lagos HQ,100,
TC-WP-557,Toke Natural Soap 4Ltrs (Orange)with AHA,Lagos HQ,100,
TC-WP-11140,Toke Natural soap (Orange  solid Cup soap) with AHA,Lagos HQ,100,
TC-WP-11141,Toke Natural soap (Orange  solid Cup soap) with AHA,Lagos HQ,100,
TC-WP-516,Toke Natural soap (Orange  solid Cup soap) with AHA,Lagos HQ,100,
TC-WP-517,Toke Natural soap (Orange  solid Cup soap) with AHA,Lagos HQ,100,
TC-WP-520,Toke Natural soap (Orange  solid Cup soap) with AHA,Lagos HQ,100,
TC-WP-521,Toke Natural soap (Orange  solid Cup soap) with AHA,Lagos HQ,100,
TC-WP-11115,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-11118,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-11119,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-11120,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-11121,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-11122,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-567,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-568,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-569,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-570,Toke Natural soap (sesame formula) solid,Lagos HQ,100,
TC-WP-522,Toke Nourishing conditioner,Lagos HQ,100,
TC-WP-11087,Toke Papaya Shea Butter,Lagos HQ,100,
TC-WP-4901,Toke Papaya Shea Butter,Lagos HQ,100,
TC-WP-4902,Toke Papaya Shea Butter,Lagos HQ,100,
TC-WP-4903,Toke Papaya Shea Butter,Lagos HQ,100,
TC-WP-11109,Toke Scented Shea Butter,Lagos HQ,100,
TC-WP-11223,Toke Scented Shea Butter,Lagos HQ,100,
TC-WP-11226,Toke Scented Shea Butter,Lagos HQ,100,
TC-WP-11231,Toke Scented Shea Butter,Lagos HQ,100,
TC-WP-558,Toke Shea Balm,Lagos HQ,100,
TC-WP-11084,Toke Shea Glow,Lagos HQ,100,
TC-WP-11085,Toke Shea Glow,Lagos HQ,100,
TC-WP-11086,Toke Shea Glow,Lagos HQ,100,
TC-WP-696,Toke Soothing Face Repair Cream,Lagos HQ,100,
TC-WP-4254,Toke baby calming oil,Lagos HQ,100,
TC-WP-4255,Toke baby calming oil,Lagos HQ,100,
TC-WP-497,Toke baby soap with shea butter,Lagos HQ,100,
TC-WP-498,Toke baby soap with shea butter,Lagos HQ,100,
TC-WP-499,Toke baby soap with shea butter,Lagos HQ,100,
TC-WP-500,Toke baby soap with shea butter,Lagos HQ,100,
0.266,Toke carrot shea butter,Lagos HQ,100,
TC-WP-11089,Toke coco shea butter,Lagos HQ,100,
TC-WP-11090,Toke coco shea butter,Lagos HQ,100,
TC-WP-11091,Toke coco shea butter,Lagos HQ,100,
TC-WP-542,Toke coco shea butter,Lagos HQ,100,
TC-WP-543,Toke coco shea butter,Lagos HQ,100,
TC-WP-544,Toke coco shea butter,Lagos HQ,100,
TC-WP-545,Toke coco shea butter,Lagos HQ,100,
TC-WP-503,Toke hand and body cream (Tube),Lagos HQ,100,
TC-WP-11329,Toke natural shower gel(Sesame formula),Lagos HQ,100,
TC-WP-11330,Toke natural shower gel(Sesame formula),Lagos HQ,100,
