wp_term_id,reason,products,original_tag_text
157,"hashtag blob — re-tag by hand in WooCommerce, then re-import",,#100% cotton
254,"hashtag blob — re-tag by hand in WooCommerce, then re-import",8 OZ White Plastic Bottle,#8OZBottle #WhitePlasticBottle #PlasticBottlePackaging #SkincarePackaging #CosmeticBottle
104,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Caramel Skin Set; Toke Brightening Oil,#Acne
247,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Anti-Acne Facial Set,#AcneCareRoutine #AcneFreeSkin #PimpleFreeSkin #BreakoutControl #AcneSolution #ClearSkinRoutine #FightAcne
91,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke coco shea butter,#Babysheabuter
105,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Caramel Skin Set,#Blemishes.
92,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke coco shea butter,#Bodybutter
83,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Even Skin Glow Lotion with Lactic Acid and shea oil,#Brighterskin
84,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Even Skin Glow Lotion with Lactic Acid and shea oil,#Brownskin
106,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Caramel Skin Set,#Caramelskin
85,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Even Skin Glow Lotion with Lactic Acid and shea oil,#Chocolate
93,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke coco shea butter,#Coconutoil
94,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke coco shea butter,#Coconutsheabutter
112,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Natural Soap 4Ltrs (Orange)with AHA; Toke Scented Shea Butter,#DIY#family#savecost#soap
243,"hashtag blob — re-tag by hand in WooCommerce, then re-import",2KG Toke Natural Soap,#DIY#family#savecost#soap #TokeNaturalOrangeSoap #TokeCosmetics #OrangeSoap #NaturalOrangeSoap #4kgOrangeSoap #OrganicOrangeSoap #VitaminCSoap #BrighteningSoap #GlowingSkinSoap
86,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Even Skin Glow Lotion with Lactic Acid and shea oil,#Darkskin
244,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Even Skin Glow Lotion,#EvenSkinGlow #EvenSkinTone #GlowingEvenSkin #RadiantSkinGlow #SmoothEvenSkin #BrightEvenSkin #SkinGlowRoutine #HealthySkinGlow
87,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Caramel Skin Set; Toke Even Skin Glow Lotion with Lactic Acid and shea oil,#Evenskin
88,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Caramel Skin Set; Toke Even Skin Glow Lotion with Lactic Acid and shea oil,#Glowyskin
117,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Hair Grower Cream,#Hair
258,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Kids Hair Conditioner (rinse-out),#HealthyHairGrowth #HairGrowthJourney #StrongerHair #NourishedHair #SoftHealthyHair
241,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Daily Hydrating & Brightening Facial Wash,#HydratingFaceWash #MoistureBoost #GlowUpSkin #SkinHydration #FaceCareEssentials #GentleOnSkin #BrightSkinGoals #GlowCleanser #TokeSkincare #TokeGlow
89,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Caramel Skin Set; Toke Even Skin Glow Lotion with Lactic Acid and shea oil,#Hyperpigmentation
95,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke coco shea butter,#Moisturizer
96,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke coco shea butter,#Nappyrash#Eczema
97,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke coco shea butter,#Naturalskincare
252,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Nature’s Root Shampoo with Rosemary Oil,#NaturesRootShampoo #RosemaryOilShampoo #TokeCosmetics #HairGrowthShampoo #NaturalHairCare #HealthyHairGrowth #StrongerHair #ScalpCare #HairStrengthening #HairGrowthRoutine
139,"hashtag blob — re-tag by hand in WooCommerce, then re-import",,#Serum #exfoliate #facetoner #facialset #facialtreatment #facial #skincareroutines #facecream #smoothface #facialproduct #lighteningfacecream
98,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Hair Grower Cream; Toke Scented Shea Butter; Toke coco shea butter,#Sheabutter
99,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke coco shea butter,#Skincare
245,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Hydrate and Glow Lotion,#Toke#DeepHydration #HydratedSkin #MoisturizedSkin #SkinHydration #HydratingBodyCare #SoftSmoothSkin HydrateAndGlowLotion #TokeCosmetics
253,"hashtag blob — re-tag by hand in WooCommerce, then re-import",,#TokeAdultHaircareSet #TokeHairCare #TokeCosmetics #AdultHaircare #HaircareSet #HairGrowthRoutine #HealthyHairGrowth #StrongerHair #LongHealthyHair #HairGrowthJourney #HealthyHairCare #SoftHealthyHair
249,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Anti-Acne Face Cream,#TokeAntiAcneFaceCream #TokeCosmetics #TokeSkincare #AntiAcneCream #AcneTreatmentCream #AcneSet #ClearSkinRoutine #SmoothFaceSkin #HealthyFacialSkin #ClearHealthySkin #EvenSkinTexture
246,"hashtag blob — re-tag by hand in WooCommerce, then re-import",,#TokeCosmeticsAntiacne #Tokecosmetics #AcneCareRoutine #AcneFreeSkin #PimpleFreeSkin #BreakoutControl #AcneSolution #ClearSkinRoutine #FightAcne
248,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Anti-Acne Facial Wash,#TokeCosmeticsAntiacne #Tokecosmetics #AcneCareRoutine #AcneFreeSkin #PimpleFreeSkin #BreakoutControl #AcneSolution #ClearSkinRoutine #FightAcne #AntiacneFaceWash
251,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Face & Body Exfoliating Scrub,#TokeExfoliatingScrub #TokeCosmetics #TokeSkincare #FaceAndBodyScrub #ExfoliatingScrub #SmoothSkinRoutine #GlowingSkin #SkinExfoliation #ClearHealthySkin #DeadSkinRemoval #SkinRenewal #SoftSmoothSkin
255,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Hair Grow Scalp Serum,#TokeHairGrowSerum #TokeCosmetics #TokeHairCare #HairGrowSerum #ScalpSerum #HealthyHairGrowth #StrongerHair #HairGrowthJourney #NourishedScalp #ThickerHair
250,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Kids Hair Grow Cream,#TokeKidsHairGrowCream #TokeCosmetics #TokeHairCare #KidsHairGrowCream #KidsHairCare #HairGrowthForKids #HealthyHairGrowth #StrongerHair #HairGrowthRoutine #LongHealthyHair
259,"hashtag blob — re-tag by hand in WooCommerce, then re-import",Toke Kids Leave-in Hair Conditioner,#TokeKidsLeaveInConditioner #TokeHairCare #TokeCosmetics #KidsLeaveInConditioner #KidsHairCare #HealthyKidsHair #KidsHairGrowth #NourishedHair #SoftHealthyHair #StrongerHair #MoisturizedHair
